mineral,stage,hs_code_queried,hs_description,period,reporterCode,reporterISO,reporterDesc,partnerCode,partnerISO,partnerDesc,flowCode,flowDesc,cmdCode,cmdDesc,primaryValue,netWgt,grossWgt,qty,qtyUnitAbbr,cifvalue,fobvalue
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,842,USA,USA,X,Export,260400,Nickel ores and concentrates,60.89,293.0,0.0,293.0,kg,,60.89
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,0,W00,World,X,Export,260400,Nickel ores and concentrates,368453400.0,74168522.0,0.0,74168522.0,kg,,368453400.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,56,BEL,Belgium,X,Export,260400,Nickel ores and concentrates,587670.0,45276.0,0.0,45276.0,kg,,587670.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,76,BRA,Brazil,X,Export,260400,Nickel ores and concentrates,442178.0,29439.0,0.0,29439.0,kg,,442178.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,124,CAN,Canada,X,Export,260400,Nickel ores and concentrates,365243651.0,73940699.0,0.0,73940699.0,kg,,365243651.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,156,CHN,China,X,Export,260400,Nickel ores and concentrates,27475.0,826.0,0.0,826.0,kg,,27475.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,188,CRI,Costa Rica,X,Export,260400,Nickel ores and concentrates,4000.0,333.0,0.0,333.0,kg,,4000.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,251,FRA,France,X,Export,260400,Nickel ores and concentrates,4658.0,33.0,0.0,33.0,kg,,4658.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,276,DEU,Germany,X,Export,260400,Nickel ores and concentrates,55125.0,4293.0,0.0,4293.0,kg,,55125.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,380,ITA,Italy,X,Export,260400,Nickel ores and concentrates,16970.0,609.0,0.0,609.0,kg,,16970.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,458,MYS,Malaysia,X,Export,260400,Nickel ores and concentrates,24211.0,998.0,0.0,998.0,kg,,24211.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,484,MEX,Mexico,X,Export,260400,Nickel ores and concentrates,76329.0,743.0,0.0,743.0,kg,,76329.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,528,NLD,Netherlands,X,Export,260400,Nickel ores and concentrates,1744508.0,125154.0,0.0,125154.0,kg,,1744508.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,531,CUW,Curaçao,X,Export,260400,Nickel ores and concentrates,164687.0,13146.0,0.0,13146.0,kg,,164687.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,682,SAU,Saudi Arabia,X,Export,260400,Nickel ores and concentrates,2750.0,39.0,0.0,39.0,kg,,2750.0
nickel,primary,260400,Nickel ores and concentrates,2023,842,USA,USA,757,CHE,Switzerland,X,Export,260400,Nickel ores and concentrates,11105.0,380.0,0.0,380.0,kg,,11105.0
